2017-12-25 02:06:07.6792 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'UserFIO'= Ivanov Artem
2017-12-25 02:06:19.3219 | INFO | ServiceFines.Controllers.GatewayController | Success OUR compliete request GET from 0 with parametr 'MachineName'= Ivanov Artem
2017-12-25 02:06:21.9359 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'UserFIO'= Ivanov Artem
2017-12-25 02:06:21.9499 | INFO | ServiceFines.Controllers.GatewayController | Success OUR compliete request GET from 0 with parametr 'MachineName'= Ivanov Artem
2017-12-25 02:06:32.9570 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'UserFIO'= Ivanov Artem
2017-12-25 02:16:45.5197 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'UserFIO'= Ivanov Artem
2017-12-25 02:16:54.8150 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'UserFIO'= Ivanov Artem
2017-12-25 02:18:17.8616 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'UserFIO'= Ivanov Artem
2017-12-25 02:27:08.6161 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'UserFIO'= Ivanov Artem
2017-12-25 02:28:28.3176 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'UserFIO'= Ivanov Artem
2017-12-25 02:29:17.1459 | INFO | ServiceFines.Controllers.GatewayController | Success OUR compliete request GET from 0 with parametr 'MachineName'= Ivanov Artem
2017-12-25 02:33:33.7413 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'fine'= Неправильная парковка
2017-12-25 02:33:33.7958 | INFO | ServiceFines.Controllers.GatewayController | Success compliete request GET from 0 with parametr 'fine'= Неправильная парковка
2017-12-25 02:36:02.8743 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'fine'= Неправильная парковка
2017-12-25 02:36:02.9372 | INFO | ServiceFines.Controllers.GatewayController | Success compliete request GET from 0 with parametr 'fine'= Неправильная парковка
2017-12-25 02:37:12.8334 | INFO | ServiceFines.Controllers.GatewayController | Request GET from 0 with parametr 'fine'= Неправильная парковка
